# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |        bus_for_each_drv() {
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)   1.217 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.726 us    |              of_match_device();
 0) + 10.104 us   |            }
 0) + 12.964 us   |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.315 us    |              of_match_device();
 0) + 10.073 us   |            }
 0) + 12.692 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.196 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.161 us    |              of_match_device();
 0)   3.998 us    |            }
 0)   6.605 us    |          }
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)   1.227 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.354 us    |              of_match_device();
 0)   8.127 us    |            }
 0) + 10.448 us   |          }
 0)   1.201 us    |          _raw_spin_lock_irqsave();
 0)   1.191 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.488 us    |              of_match_device();
 0)   7.992 us    |            }
 0) + 10.553 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.385 us    |              of_match_device();
 0)   8.047 us    |            }
 0) + 10.523 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.249 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.013 us    |              of_match_device();
 0)   7.687 us    |            }
 0) + 10.340 us   |          }
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   9.295 us    |              of_match_device();
 0) + 11.967 us   |            }
 0) + 14.582 us   |          }
 0)   1.203 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) ! 145.967 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.396 us    |            rpm_check_suspend_allowed();
 0)   4.573 us    |          }
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.058 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.205 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.316 us    |            rpm_check_suspend_allowed();
 0)   3.602 us    |          }
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.487 us   |        }
 0)   1.323 us    |        mutex_unlock();
 0) ! 196.640 us  |      }
 0) ! 199.786 us  |    }
 0)   1.183 us    |    mutex_lock();
 0)   1.210 us    |    mutex_unlock();
 0) ! 215.002 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.418 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.314 us    |          _raw_spin_lock_irqsave();
 0)   1.591 us    |          rpm_resume();
 0)   1.228 us    |          _raw_spin_unlock_irqrestore();
 0)   9.141 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.300 us    |          _raw_spin_lock_irqsave();
 0)   1.200 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.716 us    |              of_match_device();
 0)   9.832 us    |            }
 0) + 13.005 us   |          }
 0)   1.194 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.532 us    |              of_match_device();
 0)   9.965 us    |            }
 0) + 12.278 us   |          }
 0)   1.170 us    |          _raw_spin_lock_irqsave();
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.157 us    |              of_match_device();
 0)   3.519 us    |            }
 0)   5.888 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.310 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.272 us    |              of_match_device();
 0)   7.900 us    |            }
 0) + 10.285 us   |          }
 0)   1.205 us    |          _raw_spin_lock_irqsave();
 0)   1.162 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.385 us    |              of_match_device();
 0)   7.836 us    |            }
 0) + 10.177 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.494 us    |              of_match_device();
 0)   7.885 us    |            }
 0) + 10.250 us   |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.158 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.267 us    |              of_match_device();
 0)   7.683 us    |            }
 0) + 10.176 us   |          }
 0)   1.214 us    |          _raw_spin_lock_irqsave();
 0)   1.224 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0) + 10.224 us   |              of_match_device();
 0) + 12.785 us   |            }
 0) + 15.269 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.166 us    |          _raw_spin_unlock_irqrestore();
 0) ! 143.132 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.308 us    |            rpm_check_suspend_allowed();
 0)   4.173 us    |          }
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.467 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.337 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.188 us    |            rpm_check_suspend_allowed();
 0)   3.483 us    |          }
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.545 us   |        }
 0)   1.187 us    |        mutex_unlock();
 0) ! 186.505 us  |      }
 0) ! 189.052 us  |    }
 0)   1.196 us    |    mutex_lock();
 0)   1.161 us    |    mutex_unlock();
 0) ! 199.118 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.355 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.356 us    |          _raw_spin_lock_irqsave();
 0)   1.458 us    |          rpm_resume();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)   8.671 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.303 us    |          _raw_spin_lock_irqsave();
 0)   1.192 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.985 us    |              of_match_device();
 0)   7.621 us    |            }
 0) + 10.036 us   |          }
 0)   1.183 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.229 us    |              of_match_device();
 0)   8.685 us    |            }
 0) + 11.075 us   |          }
 0)   1.221 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.157 us    |              of_match_device();
 0)   3.564 us    |            }
 0)   5.880 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.515 us    |              of_match_device();
 0)   7.015 us    |            }
 0)   9.367 us    |          }
 0)   1.341 us    |          _raw_spin_lock_irqsave();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.467 us    |              of_match_device();
 0)   7.000 us    |            }
 0)   9.395 us    |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.610 us    |              of_match_device();
 0)   7.045 us    |            }
 0)   9.384 us    |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.490 us    |              of_match_device();
 0)   7.001 us    |            }
 0)   9.365 us    |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.294 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.892 us    |              of_match_device();
 0) + 10.306 us   |            }
 0) + 12.662 us   |          }
 0)   1.232 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0) ! 133.065 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.365 us    |            rpm_check_suspend_allowed();
 0)   3.690 us    |          }
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.632 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.189 us    |            rpm_check_suspend_allowed();
 0)   3.475 us    |          }
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.398 us   |        }
 0)   1.195 us    |        mutex_unlock();
 0) ! 173.756 us  |      }
 0) ! 176.255 us  |    }
 0)   1.221 us    |    mutex_lock();
 0)   1.226 us    |    mutex_unlock();
 0) ! 184.692 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.362 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.347 us    |          rpm_resume();
 0)   1.150 us    |          _raw_spin_unlock_irqrestore();
 0)   8.355 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.182 us    |          _raw_spin_lock_irqsave();
 0)   1.194 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.850 us    |              of_match_device();
 0)   8.450 us    |            }
 0) + 10.807 us   |          }
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.330 us    |              of_match_device();
 0)   9.790 us    |            }
 0) + 12.121 us   |          }
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.217 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.160 us    |              of_match_device();
 0)   3.517 us    |            }
 0)   5.845 us    |          }
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)   1.160 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.448 us    |              of_match_device();
 0)   7.858 us    |            }
 0) + 10.284 us   |          }
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.454 us    |              of_match_device();
 0)   7.841 us    |            }
 0) + 10.205 us   |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.373 us    |              of_match_device();
 0)   7.802 us    |            }
 0) + 10.244 us   |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.167 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.392 us    |              of_match_device();
 0)   7.808 us    |            }
 0) + 10.105 us   |          }
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0) + 10.427 us   |              of_match_device();
 0) + 12.858 us   |            }
 0) + 15.213 us   |          }
 0)   1.319 us    |          _raw_spin_lock_irqsave();
 0)   1.153 us    |          _raw_spin_unlock_irqrestore();
 0) ! 140.325 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.231 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.212 us    |            rpm_check_suspend_allowed();
 0)   3.852 us    |          }
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.920 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.219 us    |            rpm_check_suspend_allowed();
 0)   3.465 us    |          }
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.435 us   |        }
 0)   1.192 us    |        mutex_unlock();
 0) ! 180.875 us  |      }
 0) ! 183.300 us  |    }
 0)   1.168 us    |    mutex_lock();
 0)   1.284 us    |    mutex_unlock();
 0) ! 191.680 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.231 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.238 us    |          _raw_spin_lock_irqsave();
 0)   1.295 us    |          rpm_resume();
 0)   1.150 us    |          _raw_spin_unlock_irqrestore();
 0)   8.465 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.199 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.960 us    |              of_match_device();
 0)   7.530 us    |            }
 0)   9.924 us    |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.122 us    |              of_match_device();
 0)   8.644 us    |            }
 0)   1.818 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   4.093 us    |              pm_runtime_get_suppliers();
 0)   2.452 us    |              __pm_runtime_resume();
 0)   2.968 us    |              pm_runtime_barrier();
 0)   2.249 us    |              ktime_get();
 0) ! 262.956 us  |              really_probe();
 0)   2.267 us    |              ktime_get();
 0) + 22.484 us   |              printk();
 0)   3.349 us    |              __pm_runtime_idle();
 0)   1.193 us    |              __pm_runtime_idle();
 0)   3.135 us    |              pm_runtime_put_suppliers();
 0) ! 325.743 us  |            }
 0) ! 341.606 us  |          }
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)   1.173 us    |          _raw_spin_unlock_irqrestore();
 0)   1.347 us    |          _raw_spin_lock();
 0) ! 373.572 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.199 us    |            rpm_check_suspend_allowed();
 0)   3.623 us    |          }
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.587 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.169 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.199 us    |            rpm_check_suspend_allowed();
 0)   3.485 us    |          }
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.398 us   |        }
 0)   1.264 us    |        mutex_unlock();
 0) ! 414.687 us  |      }
 0) ! 417.457 us  |    }
 0)   1.186 us    |    mutex_lock();
 0)   1.190 us    |    mutex_unlock();
 0) ! 425.993 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.340 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.446 us    |          rpm_resume();
 0)   1.150 us    |          _raw_spin_unlock_irqrestore();
 0)   8.538 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.032 us    |              of_match_device();
 0)   7.511 us    |            }
 0) + 10.041 us   |          }
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.203 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.006 us    |              of_match_device();
 0)   8.531 us    |            }
 0)   1.281 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   2.820 us    |              pm_runtime_get_suppliers();
 0)   2.441 us    |              __pm_runtime_resume();
 0)   2.556 us    |              pm_runtime_barrier();
 0)   1.946 us    |              ktime_get();
 0) ! 205.354 us  |              really_probe();
 0)   1.980 us    |              ktime_get();
 0) + 18.271 us   |              printk();
 0)   3.577 us    |              __pm_runtime_idle();
 0)   1.202 us    |              __pm_runtime_idle();
 0)   2.901 us    |              pm_runtime_put_suppliers();
 0) ! 258.058 us  |            }
 0) ! 272.963 us  |          }
 0)   1.213 us    |          _raw_spin_lock_irqsave();
 0)   1.170 us    |          _raw_spin_unlock_irqrestore();
 0)   1.210 us    |          _raw_spin_lock();
 0) ! 304.125 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.233 us    |            rpm_check_suspend_allowed();
 0)   3.480 us    |          }
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.454 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.163 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.180 us    |            rpm_check_suspend_allowed();
 0)   3.444 us    |          }
 0)   1.280 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.450 us   |        }
 0)   1.364 us    |        mutex_unlock();
 0) ! 347.723 us  |      }
 0) ! 350.452 us  |    }
 0)   1.268 us    |    mutex_lock();
 0)   1.183 us    |    mutex_unlock();
 0) ! 359.320 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.385 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.514 us    |          rpm_resume();
 0)   1.147 us    |          _raw_spin_unlock_irqrestore();
 0)   8.933 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.200 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.343 us    |              of_match_device();
 0)   7.952 us    |            }
 0) + 10.339 us   |          }
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.310 us    |              of_match_device();
 0)   8.728 us    |            }
 0) + 11.365 us   |          }
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)   1.242 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.148 us    |              of_match_device();
 0)   3.805 us    |            }
 0)   6.090 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.573 us    |              of_match_device();
 0)   8.067 us    |            }
 0) + 10.369 us   |          }
 0)   1.191 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.891 us    |              of_match_device();
 0)   7.543 us    |            }
 0)   9.868 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.224 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.874 us    |              of_match_device();
 0)   7.315 us    |            }
 0)   9.687 us    |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.873 us    |              of_match_device();
 0)   7.310 us    |            }
 0)   9.867 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   9.079 us    |              of_match_device();
 0) + 11.546 us   |            }
 0) + 13.904 us   |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0) ! 136.362 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.208 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.546 us    |            rpm_check_suspend_allowed();
 0)   3.982 us    |          }
 0)   1.151 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.065 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.177 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.201 us    |            rpm_check_suspend_allowed();
 0)   3.585 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.539 us   |        }
 0)   1.342 us    |        mutex_unlock();
 0) ! 178.644 us  |      }
 0) ! 181.095 us  |    }
 0)   1.327 us    |    mutex_lock();
 0)   3.443 us    |    mutex_unlock();
 0) ! 193.817 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.472 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.243 us    |          _raw_spin_lock_irqsave();
 0)   1.461 us    |          rpm_resume();
 0)   1.223 us    |          _raw_spin_unlock_irqrestore();
 0)   8.759 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.170 us    |          _raw_spin_lock_irqsave();
 0)   1.193 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.417 us    |              of_match_device();
 0)   8.073 us    |            }
 0) + 10.560 us   |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.538 us    |              of_match_device();
 0)   8.938 us    |            }
 0) + 11.284 us   |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.313 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.162 us    |              of_match_device();
 0)   3.504 us    |            }
 0)   5.860 us    |          }
 0)   1.223 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.818 us    |              of_match_device();
 0)   7.220 us    |            }
 0)   9.514 us    |          }
 0)   1.191 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.785 us    |              of_match_device();
 0)   7.155 us    |            }
