# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   4.481 us    |              of_match_device();
 0)   6.915 us    |            }
 0)   9.280 us    |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.491 us    |              of_match_device();
 0)   6.950 us    |            }
 0)   9.251 us    |          }
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.490 us    |              of_match_device();
 0)   6.893 us    |            }
 0)   9.239 us    |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.305 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.022 us    |              of_match_device();
 0) + 10.447 us   |            }
 0) + 12.817 us   |          }
 0)   1.230 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0) ! 132.804 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.220 us    |            rpm_check_suspend_allowed();
 0)   3.557 us    |          }
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.557 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.167 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.188 us    |            rpm_check_suspend_allowed();
 0)   3.477 us    |          }
 0)   1.174 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.390 us   |        }
 0)   1.202 us    |        mutex_unlock();
 0) ! 173.984 us  |      }
 0) ! 176.662 us  |    }
 0)   1.227 us    |    mutex_lock();
 0)   1.247 us    |    mutex_unlock();
 0) ! 185.368 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.171 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.322 us    |          rpm_resume();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)   8.328 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.738 us    |              of_match_device();
 0)   8.212 us    |            }
 0) + 10.616 us   |          }
 0)   1.203 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.360 us    |              of_match_device();
 0)   9.784 us    |            }
 0) + 12.142 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.227 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.170 us    |              of_match_device();
 0)   3.541 us    |            }
 0)   5.877 us    |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.412 us    |              of_match_device();
 0)   7.856 us    |            }
 0) + 10.248 us   |          }
 0)   1.189 us    |          _raw_spin_lock_irqsave();
 0)   1.194 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.445 us    |              of_match_device();
 0)   7.830 us    |            }
 0) + 10.218 us   |          }
 0)   1.189 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.390 us    |              of_match_device();
 0)   7.802 us    |            }
 0) + 10.310 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.167 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.400 us    |              of_match_device();
 0)   7.854 us    |            }
 0) + 10.157 us   |          }
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.184 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0) + 10.572 us   |              of_match_device();
 0) + 12.989 us   |            }
 0) + 15.367 us   |          }
 0)   1.290 us    |          _raw_spin_lock_irqsave();
 0)   1.162 us    |          _raw_spin_unlock_irqrestore();
 0) ! 140.882 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.233 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.204 us    |            rpm_check_suspend_allowed();
 0)   4.002 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.095 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.171 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.231 us    |            rpm_check_suspend_allowed();
 0)   3.473 us    |          }
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.419 us   |        }
 0)   1.215 us    |        mutex_unlock();
 0) ! 181.975 us  |      }
 0) ! 184.432 us  |    }
 0)   1.155 us    |    mutex_lock();
 0)   1.376 us    |    mutex_unlock();
 0) ! 193.067 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.185 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.257 us    |          _raw_spin_lock_irqsave();
 0)   1.300 us    |          rpm_resume();
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0)   8.317 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)   1.201 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.992 us    |              of_match_device();
 0)   7.575 us    |            }
 0)   9.960 us    |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.017 us    |              of_match_device();
 0)   8.615 us    |            }
 0)   1.786 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   4.097 us    |              pm_runtime_get_suppliers();
 0)   2.453 us    |              __pm_runtime_resume();
 0)   3.052 us    |              pm_runtime_barrier();
 0)   2.167 us    |              ktime_get();
 0) ! 264.406 us  |              really_probe();
 0)   2.093 us    |              ktime_get();
 0) + 23.389 us   |              printk();
 0)   3.602 us    |              __pm_runtime_idle();
 0)   1.191 us    |              __pm_runtime_idle();
 0)   3.202 us    |              pm_runtime_put_suppliers();
 0) ! 328.470 us  |            }
 0) ! 344.211 us  |          }
 0)   1.340 us    |          _raw_spin_lock_irqsave();
 0)   1.173 us    |          _raw_spin_unlock_irqrestore();
 0)   1.200 us    |          _raw_spin_lock();
 0) ! 376.245 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.194 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.185 us    |            rpm_check_suspend_allowed();
 0)   3.587 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.623 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.168 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.185 us    |            rpm_check_suspend_allowed();
 0)   3.467 us    |          }
 0)   1.172 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.399 us   |        }
 0)   1.160 us    |        mutex_unlock();
 0) ! 416.252 us  |      }
 0) ! 418.753 us  |    }
 0)   1.171 us    |    mutex_lock();
 0)   1.173 us    |    mutex_unlock();
 0) ! 427.345 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.183 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)   1.575 us    |          rpm_resume();
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0)   8.538 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.971 us    |              of_match_device();
 0)   7.485 us    |            }
 0)   9.998 us    |          }
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.960 us    |              of_match_device();
 0)   8.498 us    |            }
 0)   1.268 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   2.816 us    |              pm_runtime_get_suppliers();
 0)   2.445 us    |              __pm_runtime_resume();
 0)   2.319 us    |              pm_runtime_barrier();
 0)   1.832 us    |              ktime_get();
 0) ! 205.892 us  |              really_probe();
 0)   2.073 us    |              ktime_get();
 0) + 17.693 us   |              printk();
 0)   3.330 us    |              __pm_runtime_idle();
 0)   1.209 us    |              __pm_runtime_idle();
 0)   2.820 us    |              pm_runtime_put_suppliers();
 0) ! 257.866 us  |            }
 0) ! 272.537 us  |          }
 0)   1.255 us    |          _raw_spin_lock_irqsave();
 0)   1.168 us    |          _raw_spin_unlock_irqrestore();
 0)   1.357 us    |          _raw_spin_lock();
 0) ! 303.873 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.219 us    |            rpm_check_suspend_allowed();
 0)   3.455 us    |          }
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.420 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.163 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.180 us    |            rpm_check_suspend_allowed();
 0)   3.493 us    |          }
 0)   1.265 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.448 us   |        }
 0)   1.220 us    |        mutex_unlock();
 0) ! 346.244 us  |      }
 0) ! 348.673 us  |    }
 0)   1.285 us    |    mutex_lock();
 0)   1.181 us    |    mutex_unlock();
 0) ! 357.855 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.393 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.203 us    |          _raw_spin_lock_irqsave();
 0)   1.464 us    |          rpm_resume();
 0)   1.170 us    |          _raw_spin_unlock_irqrestore();
 0)   8.730 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.618 us    |              of_match_device();
 0)   8.825 us    |            }
 0) + 11.367 us   |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.441 us    |              of_match_device();
 0)   8.908 us    |            }
 0) + 11.512 us   |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.245 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.163 us    |              of_match_device();
 0)   4.105 us    |            }
 0)   6.414 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.116 us    |              of_match_device();
 0)   7.702 us    |            }
 0) + 10.002 us   |          }
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.074 us    |              of_match_device();
 0)   7.600 us    |            }
 0)   9.938 us    |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.401 us    |              of_match_device();
 0)   7.852 us    |            }
 0) + 10.331 us   |          }
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.863 us    |              of_match_device();
 0)   7.324 us    |            }
 0)   9.787 us    |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.810 us    |              of_match_device();
 0) + 11.396 us   |            }
 0) + 13.803 us   |          }
 0)   1.230 us    |          _raw_spin_lock_irqsave();
 0)   1.200 us    |          _raw_spin_unlock_irqrestore();
 0) ! 139.097 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.214 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.444 us    |            rpm_check_suspend_allowed();
 0)   3.755 us    |          }
 0)   1.151 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.792 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.164 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.194 us    |            rpm_check_suspend_allowed();
 0)   3.578 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.512 us   |        }
 0)   1.351 us    |        mutex_unlock();
 0) ! 181.051 us  |      }
 0) ! 183.760 us  |    }
 0)   1.300 us    |    mutex_lock();
 0)   3.555 us    |    mutex_unlock();
 0) ! 195.288 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.235 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.946 us    |          rpm_resume();
 0)   1.216 us    |          _raw_spin_unlock_irqrestore();
 0)   8.885 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.215 us    |              of_match_device();
 0)   7.682 us    |            }
 0) + 10.048 us   |          }
 0)   1.179 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.430 us    |              of_match_device();
 0)   8.955 us    |            }
 0) + 11.301 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.298 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.163 us    |              of_match_device();
 0)   3.560 us    |            }
 0)   5.893 us    |          }
 0)   1.239 us    |          _raw_spin_lock_irqsave();
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.783 us    |              of_match_device();
 0)   7.210 us    |            }
 0)   9.500 us    |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.785 us    |              of_match_device();
 0)   7.162 us    |            }
