# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)               |        bus_for_each_drv() {
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.875 us    |              of_match_device();
 0)   9.407 us    |            }
 0) + 12.328 us   |          }
 0)   1.183 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.321 us    |              of_match_device();
 0)   9.887 us    |            }
 0) + 12.515 us   |          }
 0)   1.201 us    |          _raw_spin_lock_irqsave();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.162 us    |              of_match_device();
 0)   4.051 us    |            }
 0)   6.640 us    |          }
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)   1.235 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.353 us    |              of_match_device();
 0)   8.156 us    |            }
 0) + 10.568 us   |          }
 0)   1.193 us    |          _raw_spin_lock_irqsave();
 0)   1.197 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.025 us    |              of_match_device();
 0)   7.552 us    |            }
 0) + 10.043 us   |          }
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.358 us    |              of_match_device();
 0)   8.163 us    |            }
 0) + 10.538 us   |          }
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)   1.247 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.941 us    |              of_match_device();
 0)   7.630 us    |            }
 0) + 10.323 us   |          }
 0)   1.203 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   9.229 us    |              of_match_device();
 0) + 11.902 us   |            }
 0) + 14.507 us   |          }
 0)   1.208 us    |          _raw_spin_lock_irqsave();
 0)   1.193 us    |          _raw_spin_unlock_irqrestore();
 0) ! 145.229 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.408 us    |            rpm_check_suspend_allowed();
 0)   4.490 us    |          }
 0)   1.199 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.771 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.216 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.309 us    |            rpm_check_suspend_allowed();
 0)   3.576 us    |          }
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.465 us   |        }
 0)   1.306 us    |        mutex_unlock();
 0) ! 195.058 us  |      }
 0) ! 198.235 us  |    }
 0)   1.181 us    |    mutex_lock();
 0)   1.195 us    |    mutex_unlock();
 0) ! 213.591 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.382 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.340 us    |          _raw_spin_lock_irqsave();
 0)   1.577 us    |          rpm_resume();
 0)   1.225 us    |          _raw_spin_unlock_irqrestore();
 0)   8.732 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.250 us    |          _raw_spin_lock_irqsave();
 0)   1.225 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.168 us    |              of_match_device();
 0) + 10.440 us   |            }
 0) + 12.875 us   |          }
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.147 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.489 us    |              of_match_device();
 0)   9.948 us    |            }
 0) + 12.375 us   |          }
 0)   1.170 us    |          _raw_spin_lock_irqsave();
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.156 us    |              of_match_device();
 0)   3.500 us    |            }
 0)   5.964 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.294 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.255 us    |              of_match_device();
 0)   7.669 us    |            }
 0) + 10.045 us   |          }
 0)   1.235 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.472 us    |              of_match_device();
 0)   7.897 us    |            }
 0) + 10.233 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.496 us    |              of_match_device();
 0)   7.871 us    |            }
 0) + 10.211 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.197 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.257 us    |              of_match_device();
 0)   7.634 us    |            }
 0) + 10.136 us   |          }
 0)   1.222 us    |          _raw_spin_lock_irqsave();
 0)   1.223 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0) + 10.400 us   |              of_match_device();
 0) + 12.985 us   |            }
 0) + 15.438 us   |          }
 0)   1.193 us    |          _raw_spin_lock_irqsave();
 0)   1.164 us    |          _raw_spin_unlock_irqrestore();
 0) ! 141.893 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.315 us    |            rpm_check_suspend_allowed();
 0)   4.525 us    |          }
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.907 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.320 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.162 us    |            rpm_check_suspend_allowed();
 0)   3.592 us    |          }
 0)   1.221 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.643 us   |        }
 0)   1.187 us    |        mutex_unlock();
 0) ! 185.374 us  |      }
 0) ! 188.054 us  |    }
 0)   1.183 us    |    mutex_lock();
 0)   1.189 us    |    mutex_unlock();
 0) ! 198.072 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.372 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.220 us    |          _raw_spin_lock_irqsave();
 0)   1.513 us    |          rpm_resume();
 0)   1.168 us    |          _raw_spin_unlock_irqrestore();
 0)   8.527 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.298 us    |          _raw_spin_lock_irqsave();
 0)   1.204 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.950 us    |              of_match_device();
 0)   7.838 us    |            }
 0) + 10.247 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.243 us    |              of_match_device();
 0)   8.686 us    |            }
 0) + 11.032 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.157 us    |              of_match_device();
 0)   3.584 us    |            }
 0)   5.900 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.198 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.489 us    |              of_match_device();
 0)   7.022 us    |            }
 0)   9.397 us    |          }
 0)   1.337 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.463 us    |              of_match_device();
 0)   6.896 us    |            }
 0)   9.243 us    |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.473 us    |              of_match_device();
 0)   6.940 us    |            }
 0)   9.253 us    |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.475 us    |              of_match_device();
 0)   6.854 us    |            }
 0)   9.205 us    |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.290 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.003 us    |              of_match_device();
 0) + 10.417 us   |            }
 0) + 12.787 us   |          }
 0)   1.238 us    |          _raw_spin_lock_irqsave();
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0) ! 132.829 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.275 us    |            rpm_check_suspend_allowed();
 0)   3.595 us    |          }
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.943 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.168 us    |            rpm_check_suspend_allowed();
 0)   3.488 us    |          }
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.442 us   |        }
 0)   1.187 us    |        mutex_unlock();
 0) ! 173.853 us  |      }
 0) ! 176.293 us  |    }
 0)   1.208 us    |    mutex_lock();
 0)   1.233 us    |    mutex_unlock();
 0) ! 184.686 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.185 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.302 us    |          rpm_resume();
 0)   1.170 us    |          _raw_spin_unlock_irqrestore();
 0)   8.260 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.177 us    |          _raw_spin_lock_irqsave();
 0)   1.198 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.722 us    |              of_match_device();
 0)   8.214 us    |            }
 0) + 10.601 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.202 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.313 us    |              of_match_device();
 0)   9.715 us    |            }
 0) + 12.061 us   |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.160 us    |              of_match_device();
 0)   3.504 us    |            }
 0)   5.848 us    |          }
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)   1.196 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.435 us    |              of_match_device();
 0)   7.840 us    |            }
 0) + 10.255 us   |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.527 us    |              of_match_device();
 0)   7.905 us    |            }
 0) + 10.284 us   |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.223 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.473 us    |              of_match_device();
 0)   7.887 us    |            }
 0) + 10.237 us   |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.167 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.390 us    |              of_match_device();
 0)   7.806 us    |            }
 0) + 10.116 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0) + 10.442 us   |              of_match_device();
 0) + 12.840 us   |            }
 0) + 15.192 us   |          }
 0)   1.318 us    |          _raw_spin_lock_irqsave();
 0)   1.153 us    |          _raw_spin_unlock_irqrestore();
 0) ! 140.352 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.232 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.371 us    |            rpm_check_suspend_allowed();
 0)   3.857 us    |          }
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.957 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.162 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.228 us    |            rpm_check_suspend_allowed();
 0)   3.458 us    |          }
 0)   1.151 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.360 us   |        }
 0)   1.220 us    |        mutex_unlock();
 0) ! 180.728 us  |      }
 0) ! 183.330 us  |    }
 0)   1.212 us    |    mutex_lock();
 0)   1.280 us    |    mutex_unlock();
 0) ! 192.223 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.217 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.235 us    |          _raw_spin_lock_irqsave();
 0)   1.470 us    |          rpm_resume();
 0)   1.170 us    |          _raw_spin_unlock_irqrestore();
 0)   8.527 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.025 us    |              of_match_device();
 0)   7.437 us    |            }
 0)   9.772 us    |          }
 0)   1.174 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.157 us    |              of_match_device();
 0)   8.652 us    |            }
 0)   2.305 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   4.074 us    |              pm_runtime_get_suppliers();
 0)   2.585 us    |              __pm_runtime_resume();
 0)   3.140 us    |              pm_runtime_barrier();
 0)   2.144 us    |              ktime_get();
 0) ! 263.470 us  |              really_probe();
 0)   2.237 us    |              ktime_get();
 0) + 23.648 us   |              printk();
 0)   3.487 us    |              __pm_runtime_idle();
 0)   1.200 us    |              __pm_runtime_idle();
 0)   3.195 us    |              pm_runtime_put_suppliers();
 0) ! 328.655 us  |            }
 0) ! 344.745 us  |          }
 0)   1.320 us    |          _raw_spin_lock_irqsave();
 0)   1.166 us    |          _raw_spin_unlock_irqrestore();
 0)   1.188 us    |          _raw_spin_lock();
 0) ! 375.868 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.193 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.172 us    |            rpm_check_suspend_allowed();
 0)   3.515 us    |          }
 0)   1.153 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.545 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.168 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.187 us    |            rpm_check_suspend_allowed();
 0)   3.474 us    |          }
 0)   1.147 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.354 us   |        }
 0)   1.175 us    |        mutex_unlock();
 0) ! 416.098 us  |      }
 0) ! 418.553 us  |    }
 0)   1.195 us    |    mutex_lock();
 0)   1.167 us    |    mutex_unlock();
 0) ! 426.648 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.248 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.312 us    |          _raw_spin_lock_irqsave();
 0)   1.460 us    |          rpm_resume();
 0)   1.147 us    |          _raw_spin_unlock_irqrestore();
 0)   8.543 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.780 us    |              of_match_device();
 0)   7.253 us    |            }
 0)   9.857 us    |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.963 us    |              of_match_device();
 0)   8.472 us    |            }
 0)   1.490 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   2.828 us    |              pm_runtime_get_suppliers();
 0)   2.460 us    |              __pm_runtime_resume();
 0)   2.416 us    |              pm_runtime_barrier();
 0)   1.690 us    |              ktime_get();
 0) ! 203.480 us  |              really_probe();
 0)   1.940 us    |              ktime_get();
 0) + 17.156 us   |              printk();
 0)   3.231 us    |              __pm_runtime_idle();
 0)   1.220 us    |              __pm_runtime_idle();
 0)   2.817 us    |              pm_runtime_put_suppliers();
 0) ! 254.905 us  |            }
 0) ! 269.669 us  |          }
 0)   1.231 us    |          _raw_spin_lock_irqsave();
 0)   1.170 us    |          _raw_spin_unlock_irqrestore();
 0)   1.205 us    |          _raw_spin_lock();
 0) ! 300.661 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.205 us    |            rpm_check_suspend_allowed();
 0)   3.450 us    |          }
 0)   1.189 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.585 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.164 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.166 us    |            rpm_check_suspend_allowed();
 0)   3.417 us    |          }
 0)   1.287 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.402 us   |        }
 0)   1.235 us    |        mutex_unlock();
 0) ! 343.500 us  |      }
 0) ! 346.118 us  |    }
 0)   1.302 us    |    mutex_lock();
 0)   1.166 us    |    mutex_unlock();
 0) ! 355.009 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.860 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.456 us    |          rpm_resume();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)   8.772 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.199 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.257 us    |              of_match_device();
 0)   7.748 us    |            }
 0) + 10.274 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.477 us    |              of_match_device();
 0)   8.876 us    |            }
 0) + 11.612 us   |          }
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)   1.215 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.145 us    |              of_match_device();
 0)   3.750 us    |            }
 0)   6.180 us    |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.198 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.010 us    |              of_match_device();
 0)   7.485 us    |            }
 0)   9.780 us    |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.643 us    |              of_match_device();
 0)   8.170 us    |            }
 0) + 10.603 us   |          }
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.977 us    |              of_match_device();
 0)   7.411 us    |            }
 0)   9.767 us    |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.883 us    |              of_match_device();
 0)   7.405 us    |            }
 0)   9.817 us    |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.886 us    |              of_match_device();
 0) + 11.360 us   |            }
 0) + 13.721 us   |          }
 0)   1.230 us    |          _raw_spin_lock_irqsave();
 0)   1.213 us    |          _raw_spin_unlock_irqrestore();
 0) ! 136.220 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.250 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.337 us    |            rpm_check_suspend_allowed();
 0)   3.967 us    |          }
 0)   1.315 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.054 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.163 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.180 us    |            rpm_check_suspend_allowed();
 0)   3.540 us    |          }
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.460 us   |        }
 0)   1.204 us    |        mutex_unlock();
 0) ! 178.337 us  |      }
 0) ! 181.030 us  |    }
 0)   1.290 us    |    mutex_lock();
 0)   3.229 us    |    mutex_unlock();
 0) ! 193.382 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.342 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.373 us    |          _raw_spin_lock_irqsave();
 0)   1.525 us    |          rpm_resume();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)   8.912 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.199 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.860 us    |              of_match_device();
 0)   8.562 us    |            }
 0) + 11.055 us   |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.565 us    |              of_match_device();
 0)   8.985 us    |            }
 0) + 11.330 us   |          }
 0)   1.167 us    |          _raw_spin_lock_irqsave();
 0)   1.293 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.148 us    |              of_match_device();
 0)   3.515 us    |            }
 0)   5.965 us    |          }
 0)   1.225 us    |          _raw_spin_lock_irqsave();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.782 us    |              of_match_device();
 0)   7.217 us    |            }
 0)   9.547 us    |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.796 us    |              of_match_device();
 0)   7.213 us    |            }
