# cat trace
# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   6.420 us    |          }
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.249 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.938 us    |              of_match_device();
 0)   7.880 us    |            }
 0) + 10.318 us   |          }
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   1.183 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.155 us    |              of_match_device();
 0)   7.653 us    |            }
 0) + 10.080 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.952 us    |              of_match_device();
 0)   7.615 us    |            }
 0)   9.995 us    |          }
 0)   1.220 us    |          _raw_spin_lock_irqsave();
 0)   1.212 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.391 us    |              of_match_device();
 0)   7.945 us    |            }
 0) + 10.313 us   |          }
 0)   1.208 us    |          _raw_spin_lock_irqsave();
 0)   1.191 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   9.255 us    |              of_match_device();
 0) + 11.854 us   |            }
 0) + 14.367 us   |          }
 0)   1.213 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0) ! 142.893 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.817 us    |            rpm_check_suspend_allowed();
 0)   4.948 us    |          }
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.356 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.234 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.340 us    |            rpm_check_suspend_allowed();
 0)   3.617 us    |          }
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.552 us   |        }
 0)   1.192 us    |        mutex_unlock();
 0) ! 194.448 us  |      }
 0) ! 198.021 us  |    }
 0)   1.178 us    |    mutex_lock();
 0)   1.191 us    |    mutex_unlock();
 0) ! 214.000 us  |  }
